url,label
graphicriver.net,0
ecnavi.jp,0
hubpages.com,0
extratorrent.cc,0
icicibank.com,0
nypost.com,0
kienthuc.net.vn,0
thenextweb.com,0
tobogo.net,0
akhbarelyom.com,0
tunein.com,0
tune.pk,0
sfglobe.com,0
mic.com,0
thenextweb.com,0
couchtuner.eu.com,0
olx.in,0
venturebeat.com,0
allegro.pl,0
allegro.pl,0
tinnhanh360.net,0
metro.co.uk,0
atwiki.jp,0
emgn.com,0
nguyentandung.org,0
motthegioi.vn,0
spankbang.com,0
torcache.net,0
mic.com,0
thenextweb.com,0
emgn.com,0
depositphotos.com,0
serverfault.com,0
kakaku.com,0
indianexpress.com,0
nypost.com,0
distractify.com,0
sourceforge.net,0
babal.net,0
serverfault.com,0
cookpad.com,0
plarium.com,0
pikabu.ru,0
grantland.com,0
allegro.pl,0
nguyentandung.org,0
allegro.pl,0
europa.eu,0
extratorrent.cc,0
persianblog.ir,0
distractify.com,0
kenh14.vn,0
twitter.com,0
nesn.com,0
fishki.net,0
syosetu.com,0
akhbarelyom.com,0
allegro.pl,0
getpocket.com,0
mylust.com,0
censor.net.ua,0
pornsharing.com,0
genius.com,0
sourceforge.net,0
codecanyon.net,0
qz.com,0
kenh14.vn,0
uproxx.com,0
babal.net,0
mic.com,0
torcache.net,0
paytm.com,0
motthegioi.vn,0
torcache.net,0
thenextweb.com,0
extratorrent.cc,0
genius.com,0
thenextweb.com,0
kienthuc.net.vn,0
sourceforge.net,0
nypost.com,0
ap.org,0
indianexpress.com,0
extratorrent.cc,0
correios.com.br,0
web.de,0
noticias.uol.com.br,0
bdnews24.com,0
kenh14.vn,0
codecanyon.net,0
tunein.com,0
nguyentandung.org,0
kickass.to,0
weathernews.jp,0
atwiki.jp,0
plarium.com,0
chaturbate.com,0
babal.net,0
sberbank.ru,0
torcache.net,0
torcache.net,0
pikabu.ru,0
mirtesen.ru,0
mirtesen.ru,0
distractify.com,0
jalopnik.com,0
techcrunch.com,0
twitter.com,0
torcache.net,0
thenextweb.com,0
arstechnica.com,0
tunein.com,0
torrentdn.com,0
searchengineland.com,0
nesn.com,0
paytm.com,0
torcache.net,0
metro.co.uk,0
censor.net.ua,0
depositphotos.com,0
thenextweb.com,0
putlocker.is,0
tunein.com,0
lifehacker.com,0
extratorrent.cc,0
mylust.com,0
buzzfil.net,0
censor.net.ua,0
ap.org,0
akhbarelyom.com,0
sourceforge.net,0
kakaku.com,0
jezebel.com,0
grantland.com,0
gov.uk,0
emgn.com,0
bdnews24.com,0
web.de,0
extratorrent.cc,0
torcache.net,0
twitter.com,0
seekingalpha.com,0
web.tv,0
indianexpress.com,0
web.de,0
olx.co.id,0
mylust.com,0
babal.net,0
techcrunch.com,0
distractify.com,0
kakaku.com,0
metro.co.uk,0
kienthuc.net.vn,0
web.de,0
thenextweb.com,0
gov.uk,0
olx.ua,0
olx.pl,0
babal.net,0
correios.com.br,0
myspace.com,0
indianexpress.com,0
web.de,0
olx.in,0
squarespace.com,0
